plant_id,asset_type,district,district_cluster_id,lat,lon,installed_capacity_mw,panel_vintage,terrain_class,hub_height_m,turbine_vintage
SOL_027,solar,Chitradurga,2,14.3406,76.2596,80.8,2020.0,flat,,
SOL_028,solar,Chitradurga,2,14.26,76.3403,28.8,2018.0,flat,,
SOL_029,solar,Chitradurga,2,14.3429,76.5254,52.9,2022.0,flat,,
SOL_030,solar,Bellary,3,15.2051,76.923,24.9,2019.0,flat,,
SOL_031,solar,Bellary,3,15.22,77.0298,164.0,2020.0,flat,,
SOL_032,solar,Bellary,3,15.2427,77.0784,78.9,2020.0,flat,,
SOL_033,solar,Bellary,3,15.2188,77.0015,165.4,2015.0,flat,,
SOL_034,solar,Bellary,3,15.1443,77.0389,258.9,2018.0,flat,,
SOL_035,solar,Bellary,3,15.1467,76.7573,197.1,2018.0,hilly,,
SOL_036,solar,Bellary,3,15.0779,76.9321,252.9,2023.0,flat,,
SOL_037,solar,Bellary,3,15.3942,77.1478,84.8,2023.0,flat,,
SOL_038,solar,Vijayapura,4,16.6867,76.0078,290.0,2019.0,hilly,,
SOL_039,solar,Vijayapura,4,16.9101,75.6134,111.3,2017.0,hilly,,
SOL_040,solar,Vijayapura,4,16.7729,75.9427,256.8,2015.0,flat,,
SOL_041,solar,Vijayapura,4,17.0693,75.7739,12.7,2023.0,flat,,
SOL_042,solar,Vijayapura,4,16.5332,75.5065,169.1,2020.0,flat,,
SOL_043,solar,Vijayapura,4,17.1269,75.5156,15.2,2019.0,flat,,
SOL_044,solar,Vijayapura,4,16.7501,75.8565,219.1,2015.0,flat,,
SOL_045,solar,Yadgir,5,16.7763,77.2206,82.6,2020.0,hilly,,
SOL_046,solar,Yadgir,5,16.763,77.3825,136.0,2019.0,flat,,
SOL_047,solar,Yadgir,5,16.8171,77.1343,66.6,2017.0,flat,,
SOL_048,solar,Yadgir,5,16.9321,76.865,298.4,2019.0,hilly,,
SOL_049,solar,Yadgir,5,16.9196,77.4106,105.9,2019.0,flat,,
WIN_000,wind,Chitradurga_W,6,14.6094,76.0583,59.7,,hilly,100.0,2021.0
WIN_001,wind,Chitradurga_W,6,14.0399,76.3862,68.4,,hilly,100.0,2021.0
WIN_002,wind,Chitradurga_W,6,14.5005,76.742,29.2,,hilly,100.0,2022.0
WIN_003,wind,Chitradurga_W,6,14.362,76.2849,53.0,,hilly,100.0,2016.0
WIN_004,wind,Chitradurga_W,6,14.0831,76.6769,37.8,,hilly,100.0,2022.0
WIN_005,wind,Chitradurga_W,6,14.2674,76.2352,74.6,,hilly,100.0,2015.0
WIN_006,wind,Davangere,7,14.5536,75.5871,20.7,,flat,100.0,2019.0
WIN_007,wind,Davangere,7,14.2198,75.5786,71.6,,flat,100.0,2018.0
WIN_008,wind,Davangere,7,14.7737,75.5439,95.3,,flat,100.0,2021.0
WIN_009,wind,Davangere,7,14.602,75.7843,40.2,,flat,100.0,2019.0
WIN_010,wind,Davangere,7,14.7355,76.2101,52.5,,flat,100.0,2020.0
WIN_011,wind,Gadag,8,15.259,75.6567,62.5,,flat,100.0,2019.0
WIN_012,wind,Gadag,8,15.2336,75.9992,79.4,,flat,100.0,2019.0
WIN_013,wind,Gadag,8,15.1719,75.5561,110.9,,flat,100.0,2018.0
WIN_014,wind,Gadag,8,15.1226,76.0026,112.9,,flat,80.0,2015.0
WIN_015,wind,Gadag,8,15.3355,75.5738,116.7,,flat,100.0,2019.0
WIN_016,wind,Coastal,9,14.6049,73.7917,75.7,,coastal,100.0,2019.0
WIN_017,wind,Coastal,9,14.504,74.4592,77.5,,coastal,100.0,2020.0
WIN_018,wind,Coastal,9,14.5325,73.8733,141.5,,coastal,80.0,2022.0
WIN_019,wind,Coastal,9,14.8708,74.2527,76.6,,coastal,80.0,2021.0
